Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,23.843750,27.562500,21.218750,21.218750,11.376879,90623800
2000-02-01,21.375000,22.375000,17.437500,17.531250,9.458938,97190000
2000-03-01,17.531250,20.812500,16.750000,19.718750,10.639194,107057000
2000-04-01,19.718750,22.437500,18.500000,19.718750,10.639194,85068600
2000-05-01,19.718750,20.875000,18.781250,19.125000,10.402838,57297200
2000-06-01,19.406250,21.250000,16.906250,16.937500,9.212976,68539200
2000-07-01,17.093750,19.281250,16.968750,17.031250,9.263966,71625200
2000-08-01,17.062500,19.750000,17.062500,18.382813,10.095228,69892600
2000-09-01,18.382813,19.812500,14.500000,15.500000,8.512083,74326800
2000-10-01,15.500000,18.000000,14.781250,17.531250,9.627577,80621400
2000-11-01,17.531250,20.531250,17.281250,19.656250,10.916250,56313200
2000-12-01,19.750000,23.968750,19.750000,23.656250,13.137675,79328600
2001-01-01,23.625000,24.812500,19.906250,22.110001,12.278955,100271800
2001-02-01,22.110001,22.500000,19.875000,20.799999,11.639382,54466000
2001-03-01,20.799999,24.000000,20.075001,22.190001,12.417201,99983000
2001-04-01,22.190001,25.745001,20.750000,25.100000,14.045598,90777200
2001-05-01,25.100000,28.415001,24.469999,27.080000,15.260665,105511600
2001-06-01,27.080000,28.250000,24.750000,25.025000,14.102588,92980200
2001-07-01,25.025000,27.750000,24.385000,27.549999,15.525528,96153000
2001-08-01,27.424999,27.860001,24.750000,25.000000,14.181195,89029600
2001-09-01,25.004999,25.875000,20.155001,22.400000,12.706350,86049000
2001-10-01,22.424999,24.950001,21.674999,22.360001,12.683660,93458800
2001-11-01,22.600000,25.075001,21.850000,23.709999,13.550516,78951800
2001-12-01,23.709999,26.620001,23.350000,26.125000,14.930724,60542600
2002-01-01,26.174999,27.045000,23.375000,25.139999,14.367785,77160000
2002-02-01,25.250000,28.400000,23.660000,27.754999,15.978750,80121800
2002-03-01,27.700001,29.995001,27.375000,28.424999,16.364479,98922000
2002-04-01,28.500000,29.809999,26.110001,27.309999,15.722560,92976600
2002-05-01,27.309999,28.174999,25.625000,26.135000,15.141078,82261200
2002-06-01,26.260000,26.490000,22.950001,24.475000,14.179369,83337800
2002-07-01,24.600000,24.700001,19.525000,22.350000,12.948270,113194600
2002-08-01,22.200001,23.100000,20.150000,21.820000,12.744349,87458600
2002-09-01,21.799999,21.969999,18.165001,18.610001,10.869498,92368200
2002-10-01,18.674999,21.750000,16.875000,20.424999,11.929579,113969000
2002-11-01,20.400000,25.150000,20.250000,24.950001,14.705273,70786200
2002-12-01,24.955000,25.420000,22.195000,22.860001,13.473442,64249200
2003-01-01,22.975000,24.209999,21.305000,21.990000,12.960680,77487200
2003-02-01,22.174999,23.775000,20.620001,23.500000,13.954179,73422000
2003-03-01,23.504999,26.650000,21.760000,24.600000,14.607346,106602600
2003-04-01,24.600000,27.125000,24.490000,26.299999,15.616793,85260200
2003-05-01,26.299999,27.215000,25.094999,26.075001,15.586714,87144200
2003-06-01,26.250000,29.125000,26.000000,27.830000,16.635792,72492800
2003-07-01,27.549999,34.145000,26.549999,33.735001,20.165583,154290200
2003-08-01,33.785000,36.985001,32.799999,35.915001,21.597616,114846800
2003-09-01,35.974998,36.450001,33.430000,34.419998,20.698599,114352800
2003-10-01,34.465000,39.459999,34.450001,36.639999,22.033606,134677400
2003-11-01,36.730000,38.105000,35.645000,38.025002,22.974457,70724200
2003-12-01,38.125000,42.474998,37.299999,41.509998,25.080076,98818000
2004-01-01,41.584999,42.849998,38.375000,39.064999,23.602819,115642400
2004-02-01,39.125000,39.945000,37.639999,37.875000,22.985441,97757400
2004-03-01,38.000000,40.020000,36.255001,39.535000,23.992851,114666200
2004-04-01,39.575001,42.380001,38.494999,38.865002,23.586250,104244600
2004-05-01,38.950001,39.849998,36.005001,37.674999,22.968884,108621400
2004-06-01,37.674999,39.799999,36.945000,39.720001,24.215637,90343400
2004-07-01,39.599998,39.814999,35.525002,36.744999,22.401899,100267200
2004-08-01,36.619999,37.099998,34.250000,36.349998,22.276115,101815200
2004-09-01,36.435001,40.650002,36.130001,40.224998,24.650793,91925400
2004-10-01,40.220001,40.994999,38.375000,40.270000,24.678379,117885000
2004-11-01,40.450001,46.599998,40.340000,45.775002,28.195049,101121000
2004-12-01,45.775002,49.360001,44.595001,48.755001,30.030586,80197800
2005-01-01,48.049999,48.575001,43.200001,44.549999,27.440527,139000400
2005-02-01,44.799999,48.125000,44.575001,47.525002,29.401640,88455400
2005-03-01,47.485001,49.980000,44.805000,45.720001,28.284954,132860200
2005-04-01,46.000000,46.125000,41.305000,44.025002,27.236338,140176000
2005-05-01,44.110001,47.485001,43.610001,47.055000,29.247068,82046600
2005-06-01,46.974998,51.490002,46.875000,47.654999,29.619987,108161400
2005-07-01,47.875000,54.599998,47.424999,53.910000,33.507793,131865400
2005-08-01,54.200001,55.650002,52.700001,55.490002,34.652077,70426200
2005-09-01,55.970001,59.880001,55.799999,58.750000,36.687866,88176000
2005-10-01,58.759998,59.840000,48.250000,52.590000,32.841095,121644100
2005-11-01,52.599998,58.900002,52.349998,57.779999,36.245586,72431200
2005-12-01,58.000000,59.750000,56.360001,57.770000,36.239330,58110100
2006-01-01,57.869999,68.370003,57.049999,67.900002,42.593887,89668100
2006-02-01,68.099998,73.989998,66.930000,73.080002,46.026100,77432200
2006-03-01,73.129997,77.209999,70.339996,71.809998,45.226227,108660100
2006-04-01,72.709999,80.000000,72.559998,75.739998,47.701370,105671800
2006-05-01,76.199997,82.029999,71.400002,72.949997,46.090130,105463500
2006-06-01,72.709999,74.949997,64.410004,74.480003,47.056778,125089900
2006-07-01,74.919998,75.430000,67.099998,70.870003,44.775970,100269500
2006-08-01,70.120003,74.080002,64.750000,66.349998,42.102779,123763300
2006-09-01,66.669998,70.400002,62.090000,65.800003,41.753788,131482400
2006-10-01,65.449997,70.919998,58.820000,60.709999,38.523884,227837900
2006-11-01,60.709999,63.330002,58.990002,62.029999,39.533165,141566300
2006-12-01,62.439999,63.950001,60.299999,61.330002,39.087055,90510900
2007-01-01,61.709999,64.339996,57.980000,64.070000,40.833317,146428400
2007-02-01,64.800003,68.430000,63.009998,64.430000,41.269409,121567100
2007-03-01,63.900002,67.720001,62.340000,67.029999,42.934784,117114500
2007-04-01,67.040001,74.099998,65.860001,72.620003,46.515347,123696300
2007-05-01,72.599998,78.889999,71.779999,78.580002,50.551548,114335500
2007-06-01,78.849998,82.889999,77.050003,78.300003,50.371407,111517100
2007-07-01,78.599998,87.000000,75.250000,78.800003,50.693081,190310400
2007-08-01,78.610001,82.129997,70.589996,75.769997,48.947628,149824200
2007-09-01,75.800003,80.169998,72.199997,78.430000,50.665958,103023100
2007-10-01,78.910004,82.739998,71.629997,74.610001,48.198235,152536000
2007-11-01,74.290001,75.129997,67.000000,71.900002,46.665390,136830100
2007-12-01,71.410004,77.260002,70.070000,72.559998,47.093750,101556400
2008-01-01,72.559998,72.669998,59.599998,70.989998,46.074760,185870400
2008-02-01,71.150002,75.190002,67.320000,72.330002,47.208912,125207900
2008-03-01,72.099998,78.629997,68.300003,78.290001,51.098915,150671400
2008-04-01,78.889999,85.449997,74.379997,81.879997,53.442093,152873700
2008-05-01,81.919998,85.959999,80.550003,82.639999,54.184982,105461300
2008-06-01,82.440002,83.650002,72.559998,73.820000,48.401924,157326900
2008-07-01,72.980003,75.870003,65.849998,69.519997,45.582531,191282000
2008-08-01,69.669998,72.080002,67.190002,70.730003,46.653721,117844000
2008-09-01,71.500000,74.500000,58.110001,59.599998,39.312336,193168200
2008-10-01,58.709999,59.029999,31.950001,38.200001,25.196823,323153200
2008-11-01,38.820000,43.580002,32.099998,40.990002,27.309834,237504700
2008-12-01,38.919998,45.700001,36.369999,44.669998,29.761654,234596100
2009-01-01,44.910000,47.119999,30.059999,30.850000,20.553993,301693700
2009-02-01,30.100000,33.849998,23.500000,24.610001,16.573458,313927400
2009-03-01,24.070000,30.990000,21.709999,27.959999,18.829489,389518100
2009-04-01,27.500000,36.400002,27.440001,35.580002,23.961128,327377200
2009-05-01,35.869999,40.959999,33.439999,35.459999,24.187990,267558500
2009-06-01,36.369999,38.900002,32.009998,33.040001,22.537245,268893800
2009-07-01,33.480000,44.470001,30.010000,44.060001,30.054203,353336500
2009-08-01,44.680000,48.930000,43.279999,45.310001,31.295282,237738200
2009-09-01,44.900002,54.709999,43.189999,51.330002,35.453247,222423900
2009-10-01,50.820000,61.279999,47.500000,55.060001,38.029541,251894800
2009-11-01,55.700001,60.900002,54.259998,58.389999,40.621696,158271000
2009-12-01,59.240002,60.250000,55.400002,56.990002,39.647713,127667400
2010-01-01,57.650002,64.419998,51.029999,52.240002,36.343166,221630500
2010-02-01,52.820000,58.970001,50.500000,57.049999,39.960247,181246700
2010-03-01,57.330002,63.709999,57.250000,62.849998,44.022797,183568900
2010-04-01,63.290001,72.830002,63.290001,68.089996,47.693127,180996600
2010-05-01,68.370003,70.160004,55.740002,60.759998,42.824352,243089900
2010-06-01,60.040001,68.349998,54.889999,60.070000,42.338043,217757100
2010-07-01,59.669998,70.290001,58.060001,69.750000,49.160606,183221000
2010-08-01,70.739998,72.250000,63.340000,65.160004,46.231369,152193100
2010-09-01,67.050003,80.080002,66.349998,78.680000,55.823875,173789800
2010-10-01,78.290001,81.199997,76.510002,78.599998,55.767120,168307200
2010-11-01,78.970001,84.919998,78.510002,84.599998,60.354794,144417600
2010-12-01,85.029999,94.889999,85.000000,93.660004,66.818321,105120500
2011-01-01,94.379997,97.790001,92.300003,97.010002,69.208252,117969700
