Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,0.936384,1.084821,0.772321,0.926339,0.786273,12555177600
2000-02-01,0.928571,1.070871,0.866071,1.023438,0.868691,7319782400
2000-03-01,1.058594,1.342634,1.017857,1.212612,1.029261,8698356800
2000-04-01,1.209821,1.245536,0.936384,1.107701,0.940213,8662404800
2000-05-01,1.114955,1.127232,0.729911,0.750000,0.636597,9807750400
2000-06-01,0.729911,1.029018,0.717634,0.935268,0.793852,8105204800
2000-07-01,0.930804,1.082589,0.837054,0.907366,0.770169,5746770400
2000-08-01,0.898438,1.098214,0.790179,1.088170,0.923635,5636086400
2000-09-01,1.094866,1.145089,0.453125,0.459821,0.390294,14516930400
2000-10-01,0.476563,0.477679,0.312500,0.349330,0.296510,21905788800
2000-11-01,0.347098,0.410714,0.287946,0.294643,0.250092,8488373600
2000-12-01,0.303571,0.312500,0.243304,0.265625,0.225462,8858970400
2001-01-01,0.265625,0.401786,0.257813,0.386161,0.327772,13709460800
2001-02-01,0.369420,0.391741,0.321429,0.325893,0.276617,7023766400
2001-03-01,0.318080,0.424107,0.306920,0.394107,0.334517,10799062400
2001-04-01,0.394464,0.484286,0.334821,0.455179,0.386354,11158991200
2001-05-01,0.453750,0.476786,0.344643,0.356250,0.302384,7468434400
2001-06-01,0.359464,0.448214,0.345536,0.415179,0.352403,7638265600
2001-07-01,0.422143,0.450357,0.318750,0.335536,0.284802,8655102400
2001-08-01,0.339464,0.355357,0.308571,0.331250,0.281164,5129359200
2001-09-01,0.330357,0.340714,0.262143,0.276964,0.235086,5531523200
2001-10-01,0.276607,0.346786,0.264821,0.313571,0.266158,7544247200
2001-11-01,0.315179,0.384821,0.308036,0.380357,0.322846,5369744800
2001-12-01,0.376071,0.429107,0.358750,0.391071,0.331940,4629839200
2002-01-01,0.393750,0.441607,0.361607,0.441429,0.374683,8515376800
2002-02-01,0.434643,0.463929,0.373929,0.387500,0.328909,7837424000
2002-03-01,0.391607,0.451786,0.389643,0.422679,0.358768,5318583200
2002-04-01,0.417500,0.467321,0.410714,0.433393,0.367863,6422836000
2002-05-01,0.433750,0.463929,0.395357,0.416071,0.353160,5976157600
2002-06-01,0.417679,0.418750,0.285357,0.316429,0.268584,8708016800
2002-07-01,0.316250,0.335536,0.246429,0.272500,0.231297,8118415200
2002-08-01,0.269821,0.290179,0.249464,0.263393,0.223567,5151686400
2002-09-01,0.258750,0.271250,0.250893,0.258929,0.219778,5291837600
2002-10-01,0.260536,0.293571,0.238571,0.286964,0.243574,6611432800
2002-11-01,0.284643,0.310357,0.268036,0.276786,0.234935,4531721600
2002-12-01,0.283929,0.287500,0.246071,0.255893,0.217201,4530439200
2003-01-01,0.256429,0.274643,0.242143,0.256429,0.217656,6045832800
2003-02-01,0.257321,0.273214,0.246429,0.268036,0.227508,4114303200
2003-03-01,0.268036,0.270714,0.250714,0.252500,0.214321,4028404800
